Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Descending Gem Nullification Arts, Woodland Style, Aureate Frontier Form: Paradise of the Featherweight Light
Gallant Sky Arts, Splitting Subduing Enlightened Style, Earthly Gate Form: Dawn Cleaving Pierces
Malevolent Unshakable Tearing Scale Arts, Augmented Cove Style, Formless Crushes Form: Gate of Halo
Cutting Slip Arts, Ethereal Zenith Style, Lower Elegant Zen Form: Authority-Traveling Spectral Skills
Dancing Legacy Arts, Governing Cosmic Gallant Style, Skeletal Sheet Form: Giant Sword-Breaking Pyrocascade
Ultimate Parallel Secret Path Arts, Abyssal Ruin Style, Featherweight Way Form: Crimson Shaolin Falling Poison
Secret Resolve Arts, Invisible Serene Turtle Style, Fiery Torment Form: Spiritage-Bowing Wandering Harmonies
Double Flesh Arts, Quick Defensive Bat Style, Foundational Ethereal Essence Form: Blessing of Deity
Ascending Sisi Arts, Unified Drowned Style, Spinning Punch Form: Foundation-Taking Shadow Spearplay
Sealing Order Arts, Intoxicated Triadic Style, Striking Malignant Form: Six Controlling Nail
Merciful Vitality Arts, Vile Paladin Style, Rolling Magnanimous Forest Form: Kundali of the Fox
Cosmic Sinister Arts, Petal Arching Eruption Style, Double Ghostly Star Form: Phenomena of the Lower Wing
Martial Array Arts, Saving Exploding Rivers Style, Jade Crush Form: Imperial Mistveil Vispering Ghost
Universal Skull Arts, Slicing Felling Iron Style, Dark Pearlflower Form: Turtleback Bowing Plate
Traceless Angel Arts, Metallic Gateways Style, Vajrapani Form: Triple Slayer Observing Temper
Governing Firebrand Arts, Perfect Trigrams Style, Skills Form: Stellar Body Covering Road
Shadow Circulation Arts, Onyx Eternal Style, Lower White Thoughtless Form: Giant Shadowless-Slicing Arhat
Primordial Opening Arts, Celestial Body Style, Sealing Graceful Heavenhold Form: Technique of Lattice
Capped Specter Arts, Immortal Nature Style, Shooting Staff Form: Five-Fold Snowlocked Resting Harmony
Moonlit Consuming Kindled Arts, Repelling Giant Unforgiving Style, Old Destroyer Form: Dual-Thunder Conquering Sweetened
Onyx Torment Arts, Southern Crush Style, Violent Resolve Form: Pierce of Daybreak
Mirage Fang Arts, Northern Silver Style Style, Giant Solar Ascent Form: Sui of the Serene Shatter
Intoxicated Fiend Arts, Stunning Cursed Might Style, Claw Form: Battalion of Quake
Enlightened Beak Arts, Rising Void Style, Brilliant Pine Form: Six Defending Counter
Many Steel Arts, Direction Style, Illusory Buddha Form: Triple Stroke Retreating Devil
Lunar Dive Arts, Serpent Style, Eastern Explosion Form: Dominating Rampage Piercing Hawk
27 Fold Projectile Arts, Beast Style, Cosmic Sun Form: Siege of Forest
Spinning Fatal Venomous Temper Arts, Chaotic Defensive Contemplate Style, Obscure Parallel Toil Form: Dual-Energy Shaking Prayer
Grounded Tidal Lance Arts, Penetrating Ravenous Bloodthristy Style, Malevolent Ethereal South Form: Five-Fold Direction Sacrificing Vairocana
Celestial Sui Arts, Traditional Ultimate Icy Style, Splitting Sword Form: Cold Disciple
Sacred Legged Water Arts, Tearing Sight Style, Sonic Heritage Form: Giant Weapon-Commanding Butterfly
Heartless Suffering Arts, Snow Hail Style, Ethereal Glide Form: Five-Fold Reaction Airsplitting Wave
Outward Grip Arts, Righteous Martial Assault Style, Crystalline Wanderer Form: Hunyuan Aiming Crushes
Formless Strike Arts, Assaliants Style, Riding Ruin Form: Giant Fist-Ascending Pearl
Traditional Strike Arts, Single Move Style, Jade Fiery Chin Form: Manifestation
Extended Spirit Formation Arts, Wandering Forged Chaotic Style, Formless Blade Form: Scriptures of the Cage
Responsive Deities Arts, Serene Sweeping Cawing Style, Ripping Dragontail Form: Constellation Ending Veil
Brilliant Paradise Arts, Granite Style, Shattering Extra Transparency Form: Dual-Star Emerging Pattern
Skeletal Ripping Bodhidharma Arts, Spiritual Cultivation Style, Downward Direction Form: Mad Martyr Paralyzing Spike
Emerald Ethereal Gentle Wave Arts, Devastating Illuminating Devouring Style, Sweeping Bow Form: Tai-Sleeping Unified Warmaster
Sweeping Mindless Arts, Breaker Style, Merciful Starvation Form: Glacier of the Royal
Obscure Sand Arts, Ultimate Fall Style, Cardinal Tearing Repents Form: Giant Lost-Dispersing Style
Tidal Mountain Arts, Intoxicated Quanzhen Style, Luminous Grip Form: Piercer of the Frenzy
Grappling Tranquil Arts, Plume Style, Ember Form: Triple Binder Breaking Taibai
Finishing Bow Arts, Blister Style, Unshakable Featherweight Pyrocascade Form: Web-Gathering Earthly Thunderwake
Magnanimous Incineration Arts, Coastal Moonlight Style, Wounding Massacre Form: Devil of the Outward Frontier
Apex Flashes Arts, Divinities Style, Malevolent Finger Form: Order Binding Titan
Ethereal Forged Coil Arts, Featherweight Many Kill Style, Clouds Form: Net-Severing Eternal Protector
Subduing Current Venom Arts, Shattering Gust Style, Gentle Plume Form: Unparalleled Wave
Feral Final Elbow Arts, Center Immovable Style, Embracing Flower Form: Giant Karmic-Flowing Dive
Profound Devouring Obsidian Mystery Arts, Traceless Heritage Style, Smashing Slash Form: Sonata Breaking Motion
Feral Change Arts, Extreme Vile Fatal Style, Echo Form: Phenomena Retreating Misty
Merciful Swarm Arts, Aureate Expansive Spectral Style, Parallel Stealth Form: Stun
Fleeting Malevolent Advanced Volley Arts, Cursed Onyx Solar Style, True Song Form: Five-Fold Fang Burning Stalwart
Solar Shadowy Arts, Chaotic Bat Style, Traversing Cursed Polarm Form: Cremation-Commanding Empty Veil
Cosmic Wildfire Arts, Aspects Style, Astral Barrage Form: Ripping Arrow Piercing Vajrapani
Demonic Possession Arts, Crows Style, Devouring Fortune Form: Pyrocascade of the Split
Crystalline Lunar Shooting Rhythm Arts, Ravenous Web Style, Jade Suppression Form: Five-Fold Style Emerging Resolve
Rolling Cardinal Formation Arts, Spiritual Vitality Style, Basilisk Form: Midsummer Shaolin Stealing View
Eastern Switch Arts, Endless Violent Aureate Style, Millennium Form: Six Soaring Change
Azure Monk Arts, Salvation Style, Hidden Buddhist Arrow Form: Eagle of Interference
Snow Gold Arts, Thrust Style, Intoxicated Skills Form: Toxin of the Ascending Crusher
Double Fang Arts, Divine Spanning Pearl Style, Arching Shaolin Form: Pyrocascade of Pearlflower
Lunar North Arts, Tearing Bronze Few Style, Rightful Protective Shout Form: Twin Archery Piercing Malignant
Shadow Elements Arts, Shooting Brilliant Roving Style, Imperial Domination Form: Roars-Flaming Finishing Tang
Sonic Temple Arts, Absolute Defensive Glow Style, Galaxy Form: Grappling Millennium
Formless Abyssal Block Arts, Capped Spin Style, Infiltration Form: Five-Fold Brook Draining Trail
Striking Cursed Dividing Burst Arts, Current Nether Style, Stance Form: Sonic Cross Soaring Split
Countless Calm Venomous Taihua Arts, Cawing True Coral Style, Saving Foundation Form: Lord
Wounding Flame Arts, Foundational Rising Veil Style, Mirage Prajna Form: Five-Fold Ape Biting Element
Aureate Road Arts, Coastal Center Blossoms Style, Equal Dao Form: Brilliant Forest
Pure Whirling Great Technique Arts, Tortoise Style, Black Prestissimo Form: Sutra Taking Glide
Repelling Prism Arts, Brilliant Frontier Style, Traceless Chaotic Crusher Form: Giant Triadic-Matching Warfield
Gem Protective Double Parallel Arts, Embracing Moonbeam Style, Charging Swan Form: Fiendish Instance
Tearing Profound Raven Arts, Great Spread Style, Dragon Form: Perfusion-Resting Sweeping Pulse
Bronze Fury Arts, Spirit Big Reaction Style, Hands Form: Assaliants of the Deep Stance
Elemental Serene Demonic East Arts, Parallel Snowfield Style, Sharpened Form: Six Poking Fury
Glacial Grafting Step Arts, Facing Great Venomous Style, Repelling Frostbite Form: Six Lunging Authority
Giant Responsive Transformation Arts, Onyx Seeds Style, Rebounding Vampire Form: Triple Limbo Cutting Rhythm
Equal Condor Arts, Ghostly Trap Style, Southern Unified Slash Form: Dancing Hand Crushing Poison
Elemental Governing Thundershock Arts, Calm Things Style, Endless Repelling Hellfire Form: Instance-Rises Cardinal Star
Quick Sugar Arts, Waxing Breaker Style, Rightful Scripture Form: Fog of the Essence
Grafting Wild Foxform Gateways Arts, Dividing Felling Southern Style, Extinguishing Acala Form: Giant Severance-Confronting Incineration
Ascending Emerald Coated Weaver Arts, Crazy Curse Style, Martial Malignant Form: Giant Sufferings-Controlling Prism
Sealing Enlightened Echo Arts, Flesh Style, Swan Form: Hands of Blessing
Bronze Metallic Azure Echo Arts, Ancient Fortress Style, Saving Moonlight Form: Astral Exorcism
Erupting Drunken Outward Volcanoes Arts, Grafting Spread Style, Giant Shura Form: Height of the Legs
Splitting Ash Arts, Apex Astral Wounding Style, Spread Form: Taming
Subduing Roars Arts, Current Charge Style, Enlightenment Form: Striking Ocean Coiling Tranquil
Brilliant Touch Arts, Warmaster Style, Rivers Form: Dual-Serpent Stopping Step
Ultimate Invisible Breeze Arts, Shattering Chill Style, Graceful Court Form: Triple Grasp Taking Tablet
Metallic Book Arts, Legacy Style, Abyssal Sections Form: Wisdom-Following Giant Coil
Frosty Scriptures Arts, Mad Hoarforst Style, Shooting Intoxicated Trigrams Form: Six Rises Illusion
Boxing Lofty Arts, Stunning Nature Style, Quick Form: Body of the Unknowable Reaper
Penetrating Legged Polearm Arts, Mysterious Apex Traceless Style, Cyclone Form: Six Descending Mindless
Limitless Consonance Arts, Continuous Assaliants Style, Violent Blazing North Form: Comb of the Cuts
Fertile Fleche Arts, Yellow Ladder Style, Tearing Grappling Truth Form: Mothers of Defiers
Harmonious Endless Cage Arts, Old Enlightened Redemption Style, Spectral Grace Form: Bear of the Diving Prajna
Arching Snow Rends Arts, Extinguishing Wisdom Style, Drunken Paradise Form: Sections-Freezing Consecutive Flesh
Treading Earth Arts, Chaotic Fiendish Wolf Style, Unmatched Army Form: True Clarity Sleeping Tablet
Crossing Nomad Arts, Luminous Surface Style, Great Heaven Form: Forest-Flowing Boxing Might
Mad Ancient Prelude Arts, Profound Ascending Reaction Style, Tearing Subduing Cyclone Form: Triple Daoist Resting Enemies
Dividing Raven Arts, Void Salvation Style, Formless Disinterment Form: Emptiness Gathering Darkwind
Cold Charging Absolute Shura Arts, Shadow Winds Style, Rising Delights Form: Wisdom Carrying Titan
Cutting Poisonous Traceless Trail Arts, Song Style, Grafting Script Form: Five-Fold Intention Swirling Ascension
North Martial Boxing Eruption Arts, Grand Stellar Arching Style, Plague Form: Dual-Devil Sharpening Toil
Shooting Firebrand Arts, Forged Aspects Style, Basic Quanzhen Form: Spin of Reflect
Feral Flames Arts, Blessed Step Style, Buddhist Indestructible Battle Form: Five-Fold United Falling Beak
Coated Meridian Arts, Flying Wolf Style, Jade Death Form: Six Crouching Palms
Illuminating Hawk Arts, Ultimate Body Style, Zenith Form: Five-Fold Waters Burning Chain
Luminous Shattering Blooming Sections Arts, Downward Spirit Jeweled Style, Rage Form: Saving Family
Secret Bloodthristy Red Whale Arts, Martial Countless Energy Style, Thread Form: Six Draining Mystery
Ghostly Heat Arts, Crossing Healing Nefarious Style, Fish Form: Soaring Triangle Retreating Crown
Obscure Annihilation Arts, Current Ancient Bright Style, Constellation Form: Dual-Turtleback Paralyzing Transformations
Coated Rebounding Move Arts, Yellow Signless Style, Extra Steps Form: Six Sleeping Beggar
Crossing Smashing Gentle Commander Arts, Invisible Graceful Vairocana Style, Vermillion Bind Form: Six Conquering Crusher
Empty Mighty Vajrapani Arts, Pure Unknowable Latch Style, Rising Red Circulation Form: Triple Fleche Evading Phaseless
Malevolent Unparalleled Ultimate Temple Arts, Tearing Veiled Style, Autumn Form: Five-Fold Pierce Searching Mirror
Roving Extreme Abyssal Demon Arts, Rolling Arm Style, Extra Turtleback Form: Triple Titan Descending Flight
Holy Chop Arts, Rolling Spiritual Elemental Style, Sacred Advent Form: Responsive Toss
Dividing Windrider Arts, Absolute Bloom Style, Healing Night Form: Scriptures
Waning Constellation Arts, Silver Jeweled Style, Wounding Nails Form: Descent
Gem Solar Cross Arts, Brilliant Wicked Monk Style, Style Form: Dawn Searching Skills
Aureate Mirage Shade Arts, Invisible Martyr Style, Bloody Raven Form: Grove of Steel
Dominating Mystery Arts, Frostbite Style, Skeletal Cobra Form: Mirror of the Wandering Seaspan
Big Crow Arts, Arching Corrupted Treading Style, Unified Spike Form: Venomous Pear Going Polarm
Foxform Azure Grounded Grip Arts, Treading Blister Style, Profound Embracing Verdant Form: Rotation of Limbo
Indestructible Throwing Bat Arts, Diving Flower Style, Hellish Fang Form: Rightful Whip Draining Awakening
Ghostly God Arts, Pyre Style, Gallant Form Form: Illuminated of the Mount
Fleeting Spinning Phoenix Arts, Apex Light Style, Countless Grip Form: Grand Mental
Current Devil Arts, Boxing Thread Style, Traditional Karma Form: Aquatic Thirst Defending Technique
Yellow Big Holy Scatter Arts, True Elegant Cold Style, Continuous Mystery Form: Triple Exorcism Poking Soul
Coral Elegance Arts, Lower Bow Style, Grappling Taiji Form: Giant Echo-Rises Contemplate
Descending Glow Arts, Smashing Plate Style, Extra Splitting Fish Form: Unparalleled Vairocana
Gem Starlit Arts, Rebounding Shadow Mirage Style, Expansive Emperor Form: Height-Twisting True Winter
Cold Majestic Arts, Descent Style, Cosmic Jeweled Form: Triple Shaft Resting Slashes
Devouring Scripture Arts, Spirit Divine Extreme Style, Embracing Tree Form: Direction of the Maiden
Adamantine Tiger Arts, Devil Style, Lunar Maiden Form: Step
Felling Giant Heart Arts, Glacial Graypine Style, Consuming Slayer Form: Traditional Snakeform
Grand Grappling Earthly Awakening Arts, Skeletal Nebula Style, True Starlight Form: Five-Fold Sky Crouching Hands
Encompassing Cosmic Roars Arts, Blessed Quartet Style, Heavenly Monastery Form: Origin-Resisting Throwing Phenomena
Descending Steps Arts, Dirty Arching Waning Style, Wicked Breeze Form: Poisons Traversing Curse
Unparalleled Destructive Mad Thirst Arts, Extended Lotus Style, Evil Soft Form: Pattern of the Devouring Starlit
Blooming Serene Fertile Trinity Arts, Waning Shattering Intent Style, Repelling Thread Form: Daoist-Swirling Consuming Repents
Quick Balanced Protective Maelstrom Arts, Stunning Endless Spanning Style, Icy Equal Shade Form: Ghostly Circle
Crossing Pure Transparency Arts, Grand Hellish Cloak Style, Saving Tablet Form: Six Commanding Shift
Coated Claw Arts, Apex Circle Style, Harmonious Ripple Form: Mysterious Enemy
Unknowable Bloody Gallant Lost Arts, Apex Equine Giant Style, Dark Soar Form: Six Shifting Jeweled
Mysterious Finishing Outward Tea Arts, Bronze Echo Style, Fiery Myriads Form: Dual-Shaft Evading Bear
Unshakable Adaptive Balanced Nape Arts, Chaotic Absolute Tai Style, Penetrating Steel Form: Plume
Current Aureate Shift Arts, Hand Style, Cawing Ladder Form: Tongue Resonating Crown
Unshakable Repelling Mirage Waves Arts, Many Flight Style, Rolling Manipulation Form: Featherweight Rectitude
Liberated Heartless Frozen Center Arts, Direction Style, Demonic Commander Form: Sonic Scatter Lunging Waterfall
Devouring Ripping Thread Arts, Soaring Vajrayana Style, Iron Rotation Form: Pearlflower-Following Finishing Heaven
Bloody Jeweled Arts, Legged Storms Style, Outward Resonance Form: Five-Fold Necrotoxin Burning Chackra
Sweeping Manifestation Arts, Virtuous Tortoise Style, Twin Seal Form: Giant Sweetened-Emerging Traceless
Great Tempest Arts, Healing Spirits Style, Basic Enemies Form: Giant Projectile-Ensnaring Prism
Unmatched United Arts, Yellow Goldenring Style, Healing Sonic Block Form: Lightweight of the Traceless
Expansive Big Moonlit Sui Arts, Enlightened Sugar Style, Repentant Return Form: Six Soothing Wall
Dominating Karma Arts, Mighty Saving Elder Style, Midsummer Toxic Sections Form: Unforgiving Storm Feinting Halo
Fertile Aureate Kick Arts, Undivinable Titan Style, Unified Gust Form: Few Severance
Living Mirage Vine Arts, Center Tong Style, Apex Truth Form: Triple Transformations Slicing Windrider
Unrivaled Bite Arts, Quick Obscure Trail Style, Vermillion Priest Form: Five-Fold Illusion Observing Buddha
Traditional Fang Arts, Magnanimous Move Style, Crystalline Reflection Form: Five-Fold Cuts Grounding Exchange
Emerald Pinnacle Arts, True Silent Style, Extra Grounded Guard Form: Dual-Sheet Commanding Refraction
Fading Corrupted Bronze Dawn Arts, Cawing Fate Style, Cardinal Swift Form: Dual-Descent Gathering Forms
Illusory Spanning Silver Snakeform Arts, Unrivaled Bite Style, Chaotic Stance Form: Five-Fold Wrath Weakening Elbow
Boundless Book Arts, Consecutive Big Infinite Style, Chariot Form: Triple March Ensnaring Goldenring
Corvid Punch Arts, Soaring Binder Style, Immortal Butterfly Form: Foundation of the Surge
